ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G Global Brands UCITS ETF,L&G,IE0007HKA9K1,EUR,39,47.72,2026-06-24
L&G New Energy Commodities UCITS ETF,L&G,IE000BLN64M9,USD,65,15.22,2026-06-24
L&G New Energy Commodities UCITS ETF,L&G,IE000BLN64M9,GBP,65,15.22,2026-06-24
L&G New Energy Commodities UCITS ETF,L&G,IE000BLN64M9,EUR,65,15.22,2026-06-24
L&G Multi-Strategy Enhanced Commodities ex-Agriculture & Livestock UCITS ETF,L&G,IE000MQ5XEW1,USD,30,84.22,2026-06-24
L&G Multi-Strategy Enhanced Commodities ex-Agriculture & Livestock UCITS ETF,L&G,IE000MQ5XEW1,EUR,30,84.22,2026-06-24
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000YMQ2SC9,EUR,15,170.97,2026-06-24
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000CWS09Q9,GBP,12,194.61,2026-06-24
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000CWS09Q9,USD,12,194.61,2026-06-24
L&G Corporate Bond ex-Banks Higher Ratings 0-2Y UCITS ETF,L&G,IE000CWS09Q9,EUR,12,194.61,2026-06-24
L&G S&P 100 Equal Weight UCITS ETF,L&G,IE000YELA4E3,GBP,19,34.24,2026-06-24
L&G S&P 100 Equal Weight UCITS ETF,L&G,IE000YELA4E3,USD,19,34.24,2026-06-24
L&G S&P 100 Equal Weight UCITS ETF,L&G,IE000YELA4E3,EUR,19,34.24,2026-06-24
L&G S&P 100 UCITS ETF,L&G,IE000MU0FDZ8,GBP,15,4.99,2026-06-24
L&G S&P 100 UCITS ETF,L&G,IE000MU0FDZ8,USD,15,4.99,2026-06-24
L&G S&P 100 UCITS ETF,L&G,IE000MU0FDZ8,EUR,15,4.99,2026-06-24
L&G Global Quality Dividends UCITS ETF,L&G,IE0005AJA0P1,GBP,29,255.95,2026-06-24
L&G Global Quality Dividends UCITS ETF,L&G,IE0005AJA0P1,USD,29,255.95,2026-06-24
L&G Global Quality Dividends UCITS ETF,L&G,IE0005AJA0P1,EUR,29,255.95,2026-06-24
L&G Global Quality Dividends UCITS ETF,L&G,IE000MRIQ479,GBP,29,255.95,2026-06-24
L&G Global Quality Dividends UCITS ETF,L&G,IE000MRIQ479,USD,29,255.95,2026-06-24
L&G Global Quality Dividends UCITS ETF,L&G,IE000MRIQ479,EUR,29,255.95,2026-06-24
L&G Market Neutral Commodities UCITS ETF,L&G,IE000IIHLZL0,GBP,39,37.84,2026-06-24
L&G Market Neutral Commodities UCITS ETF,L&G,IE000IIHLZL0,USD,39,37.84,2026-06-24
L&G MSCI World Mid Cap UCITS ETF,L&G,IE000DPO6LM8,GBP,29,7.62,2026-06-24
L&G MSCI World Mid Cap UCITS ETF,L&G,IE000DPO6LM8,USD,29,7.62,2026-06-24
L&G MSCI World Mid Cap UCITS ETF,L&G,IE000DPO6LM8,EUR,29,7.62,2026-06-24
