ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
ARK Artificial Intelligence & Robotics UCITS ETF,ARK Invest Europe,IE0003A512E4,USD,75,328.3835,USD,05/07/2026
ARK Genomic Revolution UCITS ETF,ARK Invest Europe,IE000O5M6XO1,USD,75,83.7365,USD,05/07/2026
ARK Innovation UCITS ETF,ARK Invest Europe,IE000GA3D489,USD,75,306.6803,USD,05/07/2026
ARK Space & Defence Innovation UCITS ETF,ARK Invest Europe,IE000AON7ET1,USD,75,45.7625,USD,05/07/2026
RIZE Circular Economy Enablers UCITS ETF,ARK Invest Europe,IE000RMSPY39,USD,45,2.4984,USD,05/07/2026
RIZE Cybersecurity and Data Privacy UCITS ETF,ARK Invest Europe,IE00BJXRZJ40,USD,45,133.1809,USD,05/07/2026
RIZE Environmental Impact 100 UCITS ETF,ARK Invest Europe,IE00BLRPRR04,USD,55,114.0597,USD,05/07/2026
RIZE Global Sustainable Infrastructure UCITS ETF,ARK Invest Europe,IE000QUCVEN9,USD,45,85.5864,USD,05/07/2026
RIZE Sustainable Future of Food UCITS ETF,ARK Invest Europe,IE00BLRPQH31,USD,45,63.5875,USD,05/07/2026
RIZE USA Environmental Impact UCITS ETF,ARK Invest Europe,IE000PY7F8J9,USD,45,8.5478,USD,05/07/2026
