ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
Goldman Sachs Access China Government Bond UCITS ETF,Goldman Sachs Asset Management,IE00BJSBC011,USD,24,51.90,USD,07/07/2026
Goldman Sachs Access China Government Bond UCITS ETF,Goldman Sachs Asset Management,IE00BJSBCS90,USD,24,59.82,USD,07/07/2026
Goldman Sachs Access UK Gilts 1-10 Years UCITS ETF,Goldman Sachs Asset Management,IE0003MKK4H3,GBP,7,763.71,GBP,07/07/2026
Goldman Sachs ActiveBeta Paris-Aligned Sustainable US Large Cap Equity UCITS ETF,Goldman Sachs Asset Management,IE00BJ5CNR11,USD,14,156.87,USD,07/07/2026
Goldman Sachs ActiveBeta® Paris-Aligned Sustainable World Equity UCITS ETF,Goldman Sachs Asset Management,IE000HPBRE54,USD,20,9.34,USD,07/07/2026
Goldman Sachs Alpha Enhanced Emerging Markets Equity Active UCITS ETF,Goldman Sachs Asset Management,IE00084KY2F2,USD,30,0.22,USD,07/07/2026
Goldman Sachs Alpha Enhanced Emerging Markets Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000KEFZYE7,USD,30,431.00,USD,07/07/2026
Goldman Sachs Alpha Enhanced Europe Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000RITWOD4,EUR,25,507.26,EUR,07/07/2026
Goldman Sachs Alpha Enhanced Europe Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000DQAQ6J3,EUR,25,0.11,EUR,07/07/2026
Goldman Sachs Alpha Enhanced Japan Equity Active UCITS ETF,Goldman Sachs Asset Management,IE0006NZSQW7,JPY,25,770.80,JPY,07/07/2026
Goldman Sachs Alpha Enhanced Japan Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000ZUTO1I5,JPY,25,114653.14,JPY,07/07/2026
Goldman Sachs Alpha Enhanced US Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000HYFO765,USD,20,315.21,USD,07/07/2026
Goldman Sachs Alpha Enhanced US Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000PH09T78,USD,20,0.11,USD,07/07/2026
Goldman Sachs Alpha Enhanced World Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000UFAX9L6,USD,25,294.75,USD,07/07/2026
Goldman Sachs Alpha Enhanced World Equity Active UCITS ETF,Goldman Sachs Asset Management,IE000PXXRS03,USD,25,0.11,USD,07/07/2026
Goldman Sachs Emerging Markets Green and Social Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000GZD8ME7,EUR,55,26.10,EUR,07/07/2026
Goldman Sachs Emerging Markets Green and Social Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000EC86C06,USD,55,0.62,USD,07/07/2026
Goldman Sachs Emerging Markets Hard Currency Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000M3UHD88,USD,45,0.52,USD,07/07/2026
Goldman Sachs Emerging Markets Hard Currency Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000UZO4IC7,EUR,45,16.90,EUR,07/07/2026
Goldman Sachs EUR Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0000MK7GG1,EUR,15,30.19,EUR,07/07/2026
Goldman Sachs EUR High Yield Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000M02BVY5,EUR,35,102.19,EUR,07/07/2026
Goldman Sachs EUR Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0009EDBBS3,EUR,18,29.75,EUR,07/07/2026
Goldman Sachs EUR Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000O6GI299,EUR,18,8.94,EUR,07/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE0002G3KSC2,EUR,29,0.81,EUR,07/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE000TZOB1X7,USD,29,18.95,USD,07/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE000CWXN435,EUR,29,0.64,EUR,07/07/2026
Goldman Sachs Global Credit Plus Active UCITS ETF,Goldman Sachs Asset Management,IE000FKMC6O9,GBP,29,0.46,GBP,07/07/2026
Goldman Sachs Global Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000JQ3ELQ8,USD,20,0.67,USD,07/07/2026
Goldman Sachs Global Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000FRX67F3,EUR,20,7.81,EUR,07/07/2026
Goldman Sachs Global Government Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000UU89RZ0,GBP,20,0.46,GBP,07/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE0004IR5U82,GBP,22,22.50,GBP,07/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE000REVDBO3,USD,22,4.84,USD,07/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE000L0X6L81,EUR,22,49.55,EUR,07/07/2026
Goldman Sachs Global Green Bond UCITS ETF,Goldman Sachs Asset Management,IE000SYQFJV2,EUR,22,0.08,EUR,07/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE0006R681H8,EUR,40,0.27,EUR,07/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE000USQ2N65,GBP,40,0.52,GBP,07/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE000D3E0G47,EUR,40,2.47,EUR,07/07/2026
Goldman Sachs Global Income Bond Opportunities Active UCITS ETF,Goldman Sachs Asset Management,IE000DHPZ1N9,USD,40,20.10,USD,07/07/2026
Goldman Sachs MSCI World Private Equity Return Tracker UCITS ETF,Goldman Sachs Asset Management,IE000GNOSM10,USD,50,14.56,USD,07/07/2026
Goldman Sachs USD High Yield Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0006B9CPY7,USD,35,101.49,USD,07/07/2026
Goldman Sachs USD Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE0004MXQ328,EUR,18,0.79,EUR,07/07/2026
Goldman Sachs USD Investment Grade Corporate Bond Active UCITS ETF,Goldman Sachs Asset Management,IE000RRCJI06,USD,18,23.83,USD,07/07/2026
